id_subsistema;nom_subsistema;din_instante;val_cargaenergiamwmed
SE;Sudeste/Centro-Oeste;2000-03-29;27257.64583333
N;Norte;2000-03-30;2445.17500000
NE;Nordeste;2000-03-30;6039.85833333
S;Sul;2000-03-30;7101.57916667
SE;Sudeste/Centro-Oeste;2000-03-30;26955.45833333
N;Norte;2000-03-31;2433.06666667
NE;Nordeste;2000-03-31;5983.79166667
S;Sul;2000-03-31;7143.63333333
SE;Sudeste/Centro-Oeste;2000-03-31;27245.69583333
N;Norte;2000-04-01;2369.14166667
NE;Nordeste;2000-04-01;5642.79166667
S;Sul;2000-04-01;6325.97083333
SE;Sudeste/Centro-Oeste;2000-04-01;24765.47083333
N;Norte;2000-04-02;2305.73750000
NE;Nordeste;2000-04-02;5162.80000000
S;Sul;2000-04-02;5212.10000000
SE;Sudeste/Centro-Oeste;2000-04-02;21926.75416667
N;Norte;2000-04-03;2434.67083333
NE;Nordeste;2000-04-03;5837.18333333
S;Sul;2000-04-03;6825.77500000
SE;Sudeste/Centro-Oeste;2000-04-03;25865.91250000
N;Norte;2000-04-04;2443.97916667
NE;Nordeste;2000-04-04;5995.74583333
S;Sul;2000-04-04;7058.24583333
SE;Sudeste/Centro-Oeste;2000-04-04;26119.27916667
N;Norte;2000-04-05;2465.03750000
NE;Nordeste;2000-04-05;6050.70833333
S;Sul;2000-04-05;7241.30416667
SE;Sudeste/Centro-Oeste;2000-04-05;26393.22083333
N;Norte;2000-04-06;2456.61666667
NE;Nordeste;2000-04-06;6106.50416667
S;Sul;2000-04-06;7353.90000000
SE;Sudeste/Centro-Oeste;2000-04-06;26602.06250000
N;Norte;2000-04-07;2443.78333333
NE;Nordeste;2000-04-07;6065.72083333
S;Sul;2000-04-07;7464.47916667
SE;Sudeste/Centro-Oeste;2000-04-07;26956.08333333
N;Norte;2000-04-08;2396.60833333
NE;Nordeste;2000-04-08;5685.74583333
S;Sul;2000-04-08;6758.08333333
SE;Sudeste/Centro-Oeste;2000-04-08;24775.40000000
N;Norte;2000-04-09;2294.73333333
NE;Nordeste;2000-04-09;5181.06250000
S;Sul;2000-04-09;5727.97083333
SE;Sudeste/Centro-Oeste;2000-04-09;22322.10833333
N;Norte;2000-04-10;2451.93750000
NE;Nordeste;2000-04-10;5888.84166667
S;Sul;2000-04-10;7432.96666667
SE;Sudeste/Centro-Oeste;2000-04-10;26820.40416667
N;Norte;2000-04-11;2460.89166667
NE;Nordeste;2000-04-11;6042.88750000
S;Sul;2000-04-11;7535.63750000
SE;Sudeste/Centro-Oeste;2000-04-11;27512.63333333
N;Norte;2000-04-12;2459.05416667
NE;Nordeste;2000-04-12;6074.29583333
S;Sul;2000-04-12;7345.09166667
SE;Sudeste/Centro-Oeste;2000-04-12;27606.16666667
N;Norte;2000-04-13;2471.62083333
NE;Nordeste;2000-04-13;6032.67500000
S;Sul;2000-04-13;7236.44166667
SE;Sudeste/Centro-Oeste;2000-04-13;27753.04583333
N;Norte;2000-04-14;2484.54583333
NE;Nordeste;2000-04-14;6042.99166667
S;Sul;2000-04-14;7265.38750000
SE;Sudeste/Centro-Oeste;2000-04-14;27872.56666667
N;Norte;2000-04-15;2389.49166667
NE;Nordeste;2000-04-15;5719.19583333
S;Sul;2000-04-15;6530.72500000
SE;Sudeste/Centro-Oeste;2000-04-15;25296.22916667
N;Norte;2000-04-16;2332.10416667
NE;Nordeste;2000-04-16;5273.78750000
S;Sul;2000-04-16;5518.36250000
SE;Sudeste/Centro-Oeste;2000-04-16;22205.83750000
N;Norte;2000-04-17;2472.69166667
NE;Nordeste;2000-04-17;5913.91250000
S;Sul;2000-04-17;7116.06916667
SE;Sudeste/Centro-Oeste;2000-04-17;26388.59750000
N;Norte;2000-04-18;2436.86250000
NE;Nordeste;2000-04-18;6054.02500000
S;Sul;2000-04-18;7169.69583333
SE;Sudeste/Centro-Oeste;2000-04-18;27175.52500000
N;Norte;2000-04-19;2471.36250000
NE;Nordeste;2000-04-19;6040.55833333
S;Sul;2000-04-19;7086.29166667
SE;Sudeste/Centro-Oeste;2000-04-19;27274.26250000
N;Norte;2000-04-20;2442.71250000
NE;Nordeste;2000-04-20;5765.41666667
S;Sul;2000-04-20;6825.31250000
SE;Sudeste/Centro-Oeste;2000-04-20;26322.39166667
N;Norte;2000-04-21;2288.51250000
NE;Nordeste;2000-04-21;4969.49583333
S;Sul;2000-04-21;5016.91666667
SE;Sudeste/Centro-Oeste;2000-04-21;20750.40833333
N;Norte;2000-04-22;2352.71250000
NE;Nordeste;2000-04-22;5388.54583333
S;Sul;2000-04-22;5473.55833333
SE;Sudeste/Centro-Oeste;2000-04-22;22211.11666667
N;Norte;2000-04-23;2307.30000000
NE;Nordeste;2000-04-23;5240.12916667
S;Sul;2000-04-23;4898.14166667
SE;Sudeste/Centro-Oeste;2000-04-23;20683.60833333
N;Norte;2000-04-24;2491.06250000
NE;Nordeste;2000-04-24;5967.61666667
S;Sul;2000-04-24;6705.77916667
SE;Sudeste/Centro-Oeste;2000-04-24;25484.22500000
N;Norte;2000-04-25;2462.72083333
NE;Nordeste;2000-04-25;5991.15000000
S;Sul;2000-04-25;7118.34583333
SE;Sudeste/Centro-Oeste;2000-04-25;26436.19583333
N;Norte;2000-04-26;2458.46666667
NE;Nordeste;2000-04-26;5960.41666667
S;Sul;2000-04-26;7292.84166667
SE;Sudeste/Centro-Oeste;2000-04-26;26576.15000000
N;Norte;2000-04-27;2489.06250000
NE;Nordeste;2000-04-27;5974.48333333
S;Sul;2000-04-27;7372.71833333
SE;Sudeste/Centro-Oeste;2000-04-27;26718.81916667
N;Norte;2000-04-28;2484.17083333
NE;Nordeste;2000-04-28;6035.77500000
S;Sul;2000-04-28;7426.82916667
SE;Sudeste/Centro-Oeste;2000-04-28;26943.85000000
N;Norte;2000-04-29;2389.43750000
NE;Nordeste;2000-04-29;5672.47500000
S;Sul;2000-04-29;6589.32500000
SE;Sudeste/Centro-Oeste;2000-04-29;24723.98750000
N;Norte;2000-04-30;2320.07500000
NE;Nordeste;2000-04-30;5214.10416667
S;Sul;2000-04-30;5445.24166667
SE;Sudeste/Centro-Oeste;2000-04-30;22078.47083333
N;Norte;2000-05-01;2315.60000000
NE;Nordeste;2000-05-01;4993.38750000
S;Sul;2000-05-01;5323.66250000
SE;Sudeste/Centro-Oeste;2000-05-01;21881.53750000
N;Norte;2000-05-02;2497.52500000
NE;Nordeste;2000-05-02;5926.08333333
S;Sul;2000-05-02;7043.13333333
SE;Sudeste/Centro-Oeste;2000-05-02;26977.29166667
N;Norte;2000-05-03;2498.20416667
NE;Nordeste;2000-05-03;6053.44583333
S;Sul;2000-05-03;7266.16666667
SE;Sudeste/Centro-Oeste;2000-05-03;27749.71250000
N;Norte;2000-05-04;2506.54583333
NE;Nordeste;2000-05-04;6068.04166667
S;Sul;2000-05-04;7332.22500000
SE;Sudeste/Centro-Oeste;2000-05-04;27879.17083333
N;Norte;2000-05-05;2517.87916667
NE;Nordeste;2000-05-05;6004.62916667
S;Sul;2000-05-05;7344.51250000
SE;Sudeste/Centro-Oeste;2000-05-05;27622.35833333
N;Norte;2000-05-06;2426.43750000
NE;Nordeste;2000-05-06;5678.34583333
S;Sul;2000-05-06;6112.81666667
SE;Sudeste/Centro-Oeste;2000-05-06;25191.07916667
N;Norte;2000-05-07;2354.15000000
NE;Nordeste;2000-05-07;5294.53333333
S;Sul;2000-05-07;5040.70416667
SE;Sudeste/Centro-Oeste;2000-05-07;22061.73750000
N;Norte;2000-05-08;2494.94583333
NE;Nordeste;2000-05-08;6037.02083333
S;Sul;2000-05-08;6771.77916667
SE;Sudeste/Centro-Oeste;2000-05-08;26140.63750000
N;Norte;2000-05-09;2467.08333333
NE;Nordeste;2000-05-09;6183.54583333
S;Sul;2000-05-09;7026.01250000
SE;Sudeste/Centro-Oeste;2000-05-09;26679.85000000
N;Norte;2000-05-10;2508.49166667
NE;Nordeste;2000-05-10;6186.42916667
S;Sul;2000-05-10;7041.40000000
SE;Sudeste/Centro-Oeste;2000-05-10;26482.65416667
N;Norte;2000-05-11;2522.05416667
NE;Nordeste;2000-05-11;6121.65833333
S;Sul;2000-05-11;7035.50416667
SE;Sudeste/Centro-Oeste;2000-05-11;26312.65416667
N;Norte;2000-05-12;2553.61666667
NE;Nordeste;2000-05-12;6009.08333333
S;Sul;2000-05-12;7143.43333333
SE;Sudeste/Centro-Oeste;2000-05-12;26138.32916667
N;Norte;2000-05-13;2491.58750000
NE;Nordeste;2000-05-13;5559.13750000
S;Sul;2000-05-13;6329.72083333
SE;Sudeste/Centro-Oeste;2000-05-13;24159.66666667
N;Norte;2000-05-14;2379.76250000
NE;Nordeste;2000-05-14;5024.16250000
S;Sul;2000-05-14;5152.62500000
SE;Sudeste/Centro-Oeste;2000-05-14;21269.62083333
N;Norte;2000-05-15;2436.06250000
NE;Nordeste;2000-05-15;5790.95000000
S;Sul;2000-05-15;6982.13750000
SE;Sudeste/Centro-Oeste;2000-05-15;25766.14583333
N;Norte;2000-05-16;2458.92083333
NE;Nordeste;2000-05-16;5969.48750000
S;Sul;2000-05-16;7272.58750000
SE;Sudeste/Centro-Oeste;2000-05-16;26631.88750000
N;Norte;2000-05-17;2443.30833333
NE;Nordeste;2000-05-17;6032.65833333
S;Sul;2000-05-17;7108.56250000
SE;Sudeste/Centro-Oeste;2000-05-17;26983.60833333
N;Norte;2000-05-18;2457.71666667
NE;Nordeste;2000-05-18;6080.70833333
S;Sul;2000-05-18;7113.15416667
SE;Sudeste/Centro-Oeste;2000-05-18;26559.87083333
N;Norte;2000-05-19;2456.27083333
NE;Nordeste;2000-05-19;6137.93750000
S;Sul;2000-05-19;7077.64166667
SE;Sudeste/Centro-Oeste;2000-05-19;26351.33750000
N;Norte;2000-05-20;2383.58333333
NE;Nordeste;2000-05-20;5782.11250000
S;Sul;2000-05-20;6244.45000000
SE;Sudeste/Centro-Oeste;2000-05-20;24380.48333333
N;Norte;2000-05-21;2324.01666667
NE;Nordeste;2000-05-21;5285.47083333
S;Sul;2000-05-21;5131.20833333
SE;Sudeste/Centro-Oeste;2000-05-21;21544.97500000
N;Norte;2000-05-22;2495.17916667
NE;Nordeste;2000-05-22;5920.91666667
S;Sul;2000-05-22;6748.56250000
SE;Sudeste/Centro-Oeste;2000-05-22;25430.90833333
N;Norte;2000-05-23;2505.26666667
NE;Nordeste;2000-05-23;5971.50833333
S;Sul;2000-05-23;7058.74166667
SE;Sudeste/Centro-Oeste;2000-05-23;26232.25833333
N;Norte;2000-05-24;2479.76250000
NE;Nordeste;2000-05-24;5938.08750000
S;Sul;2000-05-24;7158.72500000
SE;Sudeste/Centro-Oeste;2000-05-24;26271.24166667
N;Norte;2000-05-25;2503.49583333
NE;Nordeste;2000-05-25;5937.72083333
S;Sul;2000-05-25;7212.05833333
